ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
Machine Girl,PsychoWarrior: MG Ultra X,1243,,,"Supercharged, gritty experimental club music fused with noisy punk. A very cohesive release from MG!  Recommended ",https://machinegirl.bandcamp.com/album/psychowarrior-mg-ultra-x,11/20/2025,10/24/2025,Future Classic
Captain Howdy & The Sunset Serenaders,SMOKIN' GRASS,1254,,,"A really unique release of ""bluegrass fusion"". A mix of traditional music with a jam band/psychedelic rock approach from Kansas ",https://captainhowdythesunsetserenaders.bandcamp.com/album/smokin-grass,11/20/2025,10/24/2025,Riverside Records
Begonia,Fantasy Life,1262,,"cancon,femcon","Soulful, smooth, jazzy pop from Winnipeg ",https://hellobegonia.bandcamp.com/album/fantasy-life,11/20/2025,10/24/2025,Birthday Cake
RALEIGH,Fate Is Criminal,1264,,"cancon,femcon",Alt pop/art rock from Calgary ,https://raleigh.bandcamp.com/album/fate-is-criminal,11/20/2025,10/21/2025,
Fionn,scum.,1263,,"cancon,femcon",Energetic pop from Vancouver – recommended! ,https://fionnband.bandcamp.com/album/scum,11/20/2025,10/17/2025,604 Records
MolaOddity,Cave Crackers,1250,,femcon,Unique art/prog pop with heavy jazz influences – highly recommended,https://molaoddity.bandcamp.com/album/cave-crackers,11/20/2025,10/11/2025,
Royal Strays,Royal Strays,1258,,"cancon,femcon",Adult alternative/cabaret pop from Vancouver ,https://royalstrays.bandcamp.com/album/royal-strays,11/20/2025,10/10/2025,One Little Indian Records
Will Lawrence,Rooftops in the Centerfold,1246,,,Cozy indie folk/pop with a good dose of jazz from New York – recommended,https://wtlawrence.bandcamp.com/album/rooftops-in-the-centerfold,11/20/2025,9/19/2025,Sophomore Lounge
Whitney K,Bubble,1252,,cancon,"Chill fusion of rock, pop, & folk from Montreal – highly recommended! ",https://whitneyk.bandcamp.com/album/bubble-2,11/20/2025,9/12/2025,Fire Records
For Closure,Take Two,1256,,,Emo/pop punk/melodic hardcore from LA ,https://forclosurela.bandcamp.com/album/take-two,11/20/2025,9/12/2025,
Justin Karas,Flowers Wild Abound,1267,,cancon,"Dainty, lush chamber folk from Montreal – recommended! ",https://justinkaras.bandcamp.com/album/flowers-wild-abound,11/20/2025,9/12/2025,
Animal Electricity,Paratrooper,1266,,,Denver folk rock – full album on Drive! ,https://animalelectricity.bandcamp.com/track/paratrooper,11/20/2025,9/5/2025,Darya Records
WE DREAM DAWN,love undoubtedly underlies everything,1265,,femcon,Indie folk/alt pop from Oklahoma,https://wedreamdawn.bandcamp.com/album/love-undoubtedly-underlies-everything,11/20/2025,8/13/2025,Megamania
Avi C Engel,FC8 - Mote,1253,,cancon,Meditative avant-folk tracks from Toronto with rich imagery ,https://fennycompton.bandcamp.com/album/fc8-mote,11/20/2025,8/8/2025,Fenny Compton
Burning Hand,Jawbreaker,1278,,,Connecticut hardcore – recommended,https://burninghandct.bandcamp.com/album/jawbreaker,11/20/2025,7/28/2025,Mescal Canyon Records
Suzie True,How I Learned To Love What's Gone,1216,,femcon,"Charming, catchy DIY garage pop/punk from LA. Recommended! ",https://suzietrue.bandcamp.com/album/how-i-learned-to-love-whats-gone,11/13/2025,11/27/2025,Get Better Records
Frida Kill,City Gurl,1200,,femcon,Post-punk/no wave/riot grrl vibes from Brooklyn!,https://fridakill.bandcamp.com/album/city-gurl,11/13/2025,11/7/2025,Get Better Records
Crasher,Odditi Populaire,1219,,"cancon,femcon",New wave/synth punk from Montreal – super 80s! Check this one out. ,https://crasherr.bandcamp.com/album/odditi-populaire,11/13/2025,11/7/2025,Mothland Records
Freak Slug,Loose Tooth And A Short Skirt,1220,,femcon,"Lofi indie pop/shoegaze from Manchester, UK – recommended! ",https://freakslug.bandcamp.com/album/loose-tooth-and-a-short-skirt,11/13/2025,11/7/2025,Future Classic
Future Clouds and Radar,Big Weather,1221,,,"Fuzzy indie pop/rock 'n' roll from Austin, Texas",https://futurecloudsandradar.bandcamp.com/album/big-weather,11/13/2025,11/7/2025,The Star Apple Kingdom
Heaven For Real,Who Died & Made You The Dream?,1222,,cancon,Jazzy art rock from Halifax – recommended,https://heavenforreal.bandcamp.com/album/who-died-made-you-the-dream,11/13/2025,11/7/2025,Mint Records
Insecure Men,A Man For All Seasons,1223,,,"London, UK indie",https://insecuremen.bandcamp.com/album/a-man-for-all-seasons,11/13/2025,11/7/2025,Fat Possum Records
Jonathan Jeremiah,We Come Alive,1224,,,"Super polished, acoustic-driven tracks from a UK-based singer-songwriter. Recommended! ",https://open.spotify.com/album/2eKWhwVxNOZOy0cg0LIqjY?si=F5Xt6RrYSnCQd2FUeWlDJA,11/13/2025,11/7/2025,
Jordana,Jordanaland,1225,,femcon,"Soft rock/indie pop from LA – chill, happy vibe",https://jordananye.bandcamp.com/album/jordanaland,11/13/2025,11/7/2025,Grand Jury Music
White Lies,Night Light,1228,,,Epic UK indie rock,https://open.spotify.com/album/28XX98fScUpE4dZN0hIvAR?si=O1ROPQGOSUS3gh3EP8DnjQ,11/13/2025,11/7/2025,[PIAS]
Yndling,Time Time Time (I'm in the Palm of Your Hand),1197,,femcon,"Lofi bedroom pop/shoegaze/trip hop vibes from Oslo, Norway. Highly recommended – love this one ",https://yndling.bandcamp.com/album/time-time-time-im-in-the-palm-of-your-hand,11/13/2025,11/6/2025,
Verticoli,Silverlinings,1227,,,Hard rock/post-hardcore from Australia!,https://verticolitas.bandcamp.com/album/silverlinings,11/13/2025,11/6/2025,
TATYANA,Amour Armour,1196,,femcon,"A fusion of club/house beats & dance-pop from London, UK. Highly recommended",https://tatyana.bandcamp.com/album/amour-armour,11/13/2025,11/5/2025,Sinderlyn
Ruby Sparks,Iris,1226,,,Laid-back alt rock/indie grooves from LA – recommended,https://rubysparksband.bandcamp.com/album/iris,11/13/2025,11/5/2025,Word Entertainment
Astrachan,Signs,1198,,,"Jangly, feel-good rock 'n' roll from Chicago – highly recommended",https://music.youtube.com/playlist?list=OLAK5uy_mweTCuVbR5ZZgmLunUp3YpJY93N-sLfas,11/13/2025,10/31/2025,Happen Twice
Caged Animals,Make Strange Friends,1199,,,Polished indie-folk from New Brunswick – great collection of songs. Recommended! ,https://cagedanimals.bandcamp.com/album/make-strange-friends,11/13/2025,10/31/2025,Lucky Number
Hilary Woods,Night CRIÚ,1201,,femcon,"Cinematic, stripped-down, ambient noir-folk ",https://hilarywoodsmusic.bandcamp.com/album/night-cri,11/13/2025,10/31/2025,
PICTUREPLANE,Sex Distortion,1203,,,Excellent album – this one's a real treat for fans of that goth pop/coldwave/darkwave sound!,https://pictureplane.bandcamp.com/album/sex-distortion,11/13/2025,10/31/2025,music website ‚ò∫Ô∏é
BILLY DEAN THOMAS,MX,1205,,lgbtq,Soulful hip-hop – great production! Clean versions available on Drive ,https://billydeanthomas.bandcamp.com/album/mx,11/13/2025,10/24/2025,
Joelton Mayfield,Crowd Pleaser,1207,,,Nashville alt-folk/country  ,https://joeltonmayfield.bandcamp.com/album/crowd-pleaser-2,11/13/2025,10/24/2025,Jazzhead
Leanne Betasamosake Simpson,Live Like The Sky,1208,,"cancon,indigenous,femcon","Excellent album – Leanne weaves together many moods on this one, such as indie folk, shoegaze/dream pop, & synth/electronic elements. Recommended! ",https://leannesimpson.bandcamp.com/album/live-like-the-sky,11/13/2025,10/24/2025,You‚Äôve Changed Records
Orillia,FIRE-WEED,1210,,,Trad-folk from Chicago Illinois; comforting vibe! Recommended. ,https://orillia.bandcamp.com/album/fire-weed-2,11/13/2025,10/24/2025,
Mei Semones,Kurayami/Get used to it,1209,,femcon,A lovely little/short release; a fusion of j-pop & bossa nova influences from a Brooklyn-based singer & guitarist. Recommended! ,https://meisemones.bandcamp.com/album/kurayami-get-used-to-it,11/13/2025,10/22/2025,Bayonet Records
Elias Rønnenfelt,Speak Daggers,1206,,,One of my favourite Copenhagen bedroom pop/rock artists – check this one out! ,https://eliasronnenfelt.bandcamp.com/album/speak-daggers,11/13/2025,10/17/2025,Escho
Casey Dienel,My Heart Is An Outlaw,1212,,femcon,"Soft, accessible art pop from Massachusetts",https://caseydienel.bandcamp.com/album/my-heart-is-an-outlaw-2,11/13/2025,10/17/2025,
good flying birds,Talulah's Tape,1213,,,Lofi jangly noisy guitar pop from Indianapolis – good vibes,https://goodflyingbirds.bandcamp.com/album/talulahs-tape,11/13/2025,10/17/2025,Carpark Records
Mariel Buckley,Strange Trip Ahead,1214,,"cancon,femcon",Americana/country/alt-folk from Calgary. Recommended. ,https://marielbuckley.bandcamp.com/album/strange-trip-ahead,11/13/2025,10/17/2025,Birthday Cake
Avery Tucker,Paw,1217,,,"Americana/indie folk from LA!

",https://averytucker.bandcamp.com/album/paw,11/13/2025,10/10/2025,
dust,Sky is Falling,1230,,,Australian shoegaze/post-punk – recommended! ,https://dustdustdust.bandcamp.com/album/sky-is-falling,11/13/2025,10/10/2025,Kanine Records
